bench	kd	kf	umin	errbit	rule2_factor	r
s9234	0	0	0	0	0	0
s38584	0	0	0	0	0	0
s35932	0	0	0	0	0	0
s38417	0	0	0	0	0	0
b12	0	0	0	0	0	0
b14	0	0	0	0	0	0
b15	0	0	0	0	0	0
b20	0	0	0	0	0	0
iir	0	0	0	0	0	0
fir	0	0	0	0	0	0
s9234	1	1	3	5	60	0
s9234	1	1	3	5	60	1
s9234	2	1	5	5	60	0
s9234	2	1	5	5	60	2
s38584	1	1	3	5	60	0
s38584	1	1	3	5	60	3
s38584	2	1	5	5	60	0
s38584	2	1	5	5	60	4
s35932	1	1	3	5	60	0
s35932	1	1	3	5	60	5
s35932	2	1	5	5	60	0
s35932	2	1	5	5	60	6
s38417	1	1	3	5	60	0
s38417	1	1	3	5	60	7
s38417	2	1	5	5	60	0
s38417	2	1	5	5	60	8
b12	1	1	3	5	60	0
b12	1	1	3	5	60	9
b12	2	1	5	5	60	0
b12	2	1	5	5	60	10
b14	1	1	3	5	60	0
b14	1	1	3	5	60	11
b14	2	1	5	5	60	0
b14	2	1	5	5	60	12
b15	1	1	3	5	60	0
b15	1	1	3	5	60	13
b15	2	1	5	5	60	0
b15	2	1	5	5	60	14
b20	1	1	3	5	60	0
b20	1	1	3	5	60	15
b20	2	1	5	5	60	0
b20	2	1	5	5	60	16
iir	1	1	3	5	60	0
iir	1	1	3	5	60	17
iir	2	1	5	5	60	0
iir	2	1	5	5	60	18
fir	1	1	3	5	60	0
fir	1	1	3	5	60	19
fir	2	1	5	5	60	0
fir	2	1	5	5	60	20
